-999,-70,-67.5,-61,-73.5,-61,-72,-46,-64.5
-69.5,-999,-58,-67.5,-87.5,-77.5,-83,-67,-78.5
-67,-57.5,-999,-79.5,-81,-81,-72.5,-999,-68.5
-61,-67.5,-80,-999,-78,-61.5,-75.5,-999,-71
-73,-87,-80.5,-77.5,-999,-76,-86.5,-62.5,-73
-61,-77.5,-81,-61.5,-77,-999,-58,-47.5,-49
-68.5,-84,-72,-76,-87,-58,-999,-61.5,-51.5
-45.5,-67,-78,-999,-63,-45.5,-63,-999,-34.5
-65.5,-79,-69,-69.5,-74.5,-49.5,-52,-34,-999

-999,-62.5,-62.5,-61,-62.5,-63,-62.5,-63,-62.5
-69.5,-999,-58,-67.5,-86.5,-77,-83,-67,-79
-67,-58,-999,-79.5,-81,-79.5,-73,-79,-68.5
-61,-67.5,-79.5,-999,-78,-62,-73.5,-999,-69.5
-73.5,-86.5,-81,-77,-999,-76,-84.5,-62.5,-73
-61,-77.5,-79.5,-61.5,-76.5,-999,-59,-47.5,-49
-72.5,-83,-73,-73.5,-83.5,-58.5,-999,-64.5,-52
-46,-67,-79.5,-89.5,-63,-45.5,-64.5,-999,-34.5
-65,-78.5,-68.5,-69.5,-73.5,-49.5,-53,-34,-999

-999,-90,-89.5,-89.5,-82,-89,-88.5,-77,-999
-69,-82.5,-82.5,-67.5,-82,-83,-82.5,-82.5,-82.5
-67,-57.5,-57.5,-79.5,-81,-999,-83,-999,-999
-61,-67.5,-68,-999,-77,-77.5,-82,-999,-999
-72.5,-77.5,-78,-76.5,-77.5,-78.5,-78,-78.5,-78
-61,-61.5,-61.5,-62,-61,-61,-61,-60.5,-62
-70,-77,-76.5,-72,-75.5,-75.5,-75,-75,-74.5
-45.5,-67,-67,-83.5,-63.5,-60.5,-64.5,-999,-64.5
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-69.5,-66.5,-61,-73.5,-62,-62,-45.5,-61.5
-69,-82,-70.5,-81.5,-999,-999,-999,-999,-999
-66.5,-64.5,-999,-93.5,-89,-999,-999,-999,-999
-61.5,-75.5,-999,-999,-83.5,-89,-999,-89.5,-999
-73,-89.5,-999,-89,-999,-999,-999,-999,-999
-64.5,-82.5,-83.5,-82.5,-87.5,-82.5,-83.5,-76.5,-85
-66,-85.5,-87.5,-84.5,-82,-86.5,-999,-86.5,-999
-45.5,-85,-85,-84.5,-73,-84,-84,-75,-73.5
-61,-82,-82.5,-82.5,-82,-82.5,-82.5,-76.5,-999

-999,-66.5,-67,-62,-74,-83.5,-62.5,-83.5,-76.5
-69.5,-999,-57.5,-67.5,-87.5,-77,-75.5,-68,-79.5
-66.5,-58,-999,-79,-81.5,-81.5,-74,-77,-68
-62,-68,-79.5,-999,-77.5,-62,-70.5,-81,-71.5
-73,-87,-80.5,-76.5,-999,-79,-74,-64.5,-72
-62.5,-77.5,-82,-61.5,-80,-999,-57.5,-47,-49.5
-64,-76,-74.5,-70.5,-75.5,-57,-999,-60,-60
-45.5,-68.5,-76.5,-80.5,-65.5,-45,-60.5,-999,-36
-63,-80.5,-68.5,-71,-72.5,-49.5,-60,-35,-999

-999,-89.5,-82,-999,-93.5,-63,-999,-62.5,-62.5
-70,-58,-58,-67.5,-87,-81,-76,-999,-999
-67,-57.5,-999,-79.5,-81,-85,-74,-999,-84.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-74,-81,-80.5,-76.5,-999,-82.5,-74.5,-999,-87
-62.5,-82,-81.5,-62,-79.5,-82.5,-57.5,-83.5,-64
-999,-999,-999,-999,-999,-999,-999,-999,-999
-46,-77,-77.5,-80.5,-65,-51,-60.5,-999,-54
-61,-68.5,-68.5,-71,-72,-73.5,-60.5,-73.5,-999

-999,-999,-999,-999,-999,-999,-999,-61,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-46,-88.5,-999,-999,-84,-83,-999,-999,-83
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-64.5,-67,-62.5,-64.5,-65,-63,-65,-65
-70,-999,-999,-999,-999,-999,-999,-82.5,-999
-66.5,-85.5,-999,-999,-999,-999,-999,-92,-999
-62,-999,-999,-999,-999,-999,-999,-999,-999
-74,-999,-999,-999,-999,-999,-999,-79,-999
-63,-999,-999,-999,-999,-999,-91.5,-61.5,-85.5
-64,-999,-999,-999,-999,-999,-999,-73.5,-999
-48,-999,-999,-999,-999,-83,-999,-999,-73.5
-62,-999,-999,-999,-999,-86,-94.5,-52.5,-999

-999,-94,-72,-62,-84,-84,-92.5,-999,-93
-70,-85.5,-57.5,-67.5,-85.5,-85,-75.5,-86,-86.5
-67,-60.5,-999,-79.5,-91.5,-95.5,-74,-95,-68.5
-61,-72,-79.5,-999,-88.5,-62,-71,-999,-70.5
-74,-82.5,-81,-76.5,-82.5,-82.5,-75,-82.5,-82.5
-63.5,-64,-82,-61.5,-64,-64,-57,-64,-64
-63,-76.5,-74,-70.5,-76.5,-76,-999,-76.5,-76.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-61,-56,-68.5,-70.5,-56,-56,-60.5,-56.5,-56.5

-999,-86,-84.5,-86.5,-999,-86.5,-999,-56.5,-999
-70,-999,-61,-67.5,-999,-999,-91,-999,-999
-67,-61,-999,-79,-90.5,-999,-88.5,-999,-999
-61,-72.5,-84.5,-999,-87,-87.5,-85,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-63,-81.5,-86.5,-61.5,-80.5,-80,-80.5,-999,-80.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-45.5,-69,-82,-83,-69.5,-69.5,-69.5,-999,-69.5
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-62.5,-62,-86,-999,-999,-62,-62,-62.5
-70,-999,-73.5,-999,-999,-999,-999,-999,-999
-67,-76,-999,-999,-999,-999,-999,-999,-999
-62,-87.5,-999,-999,-999,-95.5,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-62.5,-999,-999,-999,-999,-90.5,-999,-89.5,-999
-45.5,-999,-999,-999,-999,-80,-999,-80.5,-80
-61,-999,-88.5,-999,-999,-82.5,-999,-83,-82.5

-999,-999,-88,-66,-75,-65,-62.5,-65,-75.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-66.5,-94,-91.5,-999,-999,-999,-999,-999,-68.5
-60.5,-83.5,-83,-999,-999,-999,-999,-999,-70.5
-74,-80,-80,-999,-999,-999,-80,-80,-80.5
-63,-61.5,-61.5,-87,-999,-999,-61.5,-61.5,-61.5
-64.5,-74.5,-74,-999,-999,-88.5,-74,-74,-74.5
-48,-83.5,-84.5,-999,-999,-78,-85,-999,-35.5
-61,-53.5,-53.5,-999,-999,-81,-53.5,-53.5,-53.5

-999,-60.5,-60.5,-60,-60.5,-74.5,-75.5,-60.5,-60
-70,-999,-77,-73.5,-999,-87,-75.5,-87,-999
-67,-79,-999,-84.5,-81,-81,-74,-93,-82.5
-62,-90,-999,-999,-77.5,-61.5,-70,-999,-85.5
-73.5,-999,-999,-82.5,-999,-83,-75,-83,-85.5
-63,-999,-999,-65.5,-79,-64,-57,-64,-63
-62.5,-999,-999,-76.5,-76,-77,-999,-77,-73
-48,-91.5,-999,-89.5,-65.5,-44.5,-60.5,-999,-52.5
-61,-999,-89.5,-76.5,-72.5,-56.5,-60.5,-56.5,-999

-999,-999,-999,-999,-999,-999,-999,-71.5,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-45.5,-73.5,-73.5,-73.5,-74,-59.5,-71,-999,-74
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-62,-62,-82.5,-62.5,-62.5,-62.5,-62,-62
-70,-999,-77.5,-95.5,-999,-999,-999,-90.5,-999
-67,-999,-999,-999,-999,-999,-999,-999,-999
-60.5,-999,-999,-999,-999,-999,-999,-999,-999
-74.5,-999,-999,-999,-999,-999,-999,-87,-999
-63,-999,-999,-999,-999,-999,-999,-69,-85.5
-63,-999,-999,-999,-999,-999,-999,-82,-999
-48.5,-999,-999,-999,-87,-83,-999,-999,-73.5
-61,-999,-999,-999,-999,-999,-999,-61,-999

-999,-91.5,-87,-62,-999,-74.5,-63,-66,-80.5
-70,-83.5,-83.5,-89,-84,-83,-83.5,-83,-84
-67,-92,-92,-999,-92,-91.5,-91.5,-999,-69.5
-62,-79,-87,-999,-999,-83,-999,-999,-72
-999,-999,-999,-999,-999,-999,-999,-999,-999
-63,-61.5,-61.5,-82,-62,-61.5,-61.5,-61,-61
-62.5,-74.5,-74.5,-999,-74.5,-74,-74.5,-74,-74
-45.5,-79,-84,-999,-86.5,-68.5,-83.5,-999,-36
-61,-53.5,-53.5,-92,-53.5,-53.5,-53.5,-53.5,-53.5

-999,-79,-999,-71,-79,-78.5,-79,-79,-78.5
-70,-999,-76,-67.5,-999,-88,-75.5,-87,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-62,-89,-999,-999,-999,-71.5,-70.5,-999,-90.5
-74,-999,-999,-77,-999,-89.5,-75.5,-84,-90.5
-63,-999,-999,-61.5,-999,-999,-57.5,-65.5,-68
-63,-999,-999,-70.5,-999,-66.5,-999,-78,-79
-45.5,-89.5,-999,-84,-88,-59.5,-60.5,-999,-59
-61,-999,-88,-70.5,-999,-61.5,-60.5,-58,-999

-999,-62,-62.5,-62,-62.5,-62.5,-90,-62.5,-62.5
-70,-91.5,-85.5,-78,-999,-999,-999,-999,-93
-66.5,-90,-999,-89.5,-90,-90,-90.5,-89.5,-90
-62,-87,-999,-999,-87.5,-86.5,-86.5,-87,-86.5
-74.5,-90.5,-999,-87,-91.5,-90.5,-91.5,-91,-91
-63,-72,-999,-71,-72,-71.5,-72,-72,-71.5
-63,-85,-999,-81,-85,-85.5,-999,-85,-85
-45.5,-75,-999,-999,-75,-75,-75.5,-75,-75
-61,-75.5,-999,-80.5,-75.5,-75,-75.5,-75.5,-75.5

-999,-91.5,-74.5,-92,-999,-91,-92,-62,-87
-69.5,-83.5,-83.5,-83.5,-83.5,-84,-999,-83.5,-84
-67,-73,-92.5,-999,-91.5,-92,-999,-92.5,-93.5
-60.5,-84,-84.5,-999,-93,-999,-999,-999,-91.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-64,-61.5,-61.5,-61.5,-61.5,-61.5,-83.5,-62,-61.5
-64,-74,-74,-74,-74.5,-74.5,-999,-74.5,-74.5
-45.5,-79,-78.5,-78,-78.5,-78.5,-86.5,-999,-78.5
-62,-53.5,-53.5,-53.5,-53.5,-53.5,-87,-54,-53.5

-999,-999,-999,-88.5,-999,-91.5,-79.5,-62.5,-62.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-62,-89,-87.5,-999,-999,-81.5,-81.5,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-63,-999,-89,-92.5,-999,-91.5,-91.5,-61.5,-75
-63,-999,-82,-999,-999,-76.5,-76,-74,-85.5
-45.5,-89.5,-84,-999,-92,-67,-67,-999,-63
-61,-999,-76.5,-999,-999,-70,-69.5,-53.5,-999

-999,-66,-66.5,-66.5,-66,-66.5,-66,-68,-66
-70,-999,-89.5,-999,-999,-999,-999,-83.5,-83.5
-66.5,-999,-999,-999,-999,-999,-90,-92,-999
-60.5,-999,-999,-999,-999,-88.5,-87.5,-999,-999
-74,-999,-999,-999,-999,-999,-91.5,-80.5,-80.5
-63,-999,-999,-88,-999,-999,-72,-61.5,-61.5
-63,-999,-999,-999,-999,-84.5,-999,-74,-74
-48,-999,-999,-999,-999,-75,-75,-999,-62
-61.5,-999,-999,-999,-999,-77.5,-76,-53.5,-53.5

-999,-75.5,-75.5,-73.5,-75.5,-75.5,-85,-75.5,-76
-69.5,-88,-88.5,-87.5,-87,-87.5,-88,-999,-999
-66.5,-58,-999,-90.5,-81.5,-999,-90,-999,-999
-60.5,-68,-87.5,-86.5,-77.5,-79.5,-86.5,-999,-999
-74,-84,-84,-84,-83.5,-84.5,-83.5,-84,-84
-63,-65.5,-65.5,-65.5,-65.5,-65.5,-65.5,-67,-65.5
-62.5,-78,-78.5,-78,-78,-78,-78,-999,-78
-45.5,-68.5,-65,-74.5,-65.5,-65.5,-75,-999,-65.5
-61,-58,-58.5,-58,-58,-58,-58,-55,-58

-999,-84,-83,-81.5,-999,-93.5,-999,-69,-999
-70,-999,-61,-80.5,-999,-999,-999,-999,-999
-66.5,-67,-999,-93,-999,-999,-999,-999,-999
-60.5,-79,-83,-999,-95.5,-999,-93.5,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-63,-74.5,-75,-73.5,-75,-75,-77.5,-74.5,-75
-999,-999,-999,-999,-999,-999,-999,-999,-999
-48,-79.5,-80,-999,-82,-80,-80.5,-999,-73.5
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-60,-60.5,-60.5,-999,-60.5,-60.5,-60.5,-60.5
-70,-999,-72.5,-88,-999,-999,-999,-89.5,-999
-67,-70.5,-999,-999,-999,-999,-999,-999,-999
-62.5,-81.5,-999,-999,-999,-90,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-63,-85,-85.5,-80.5,-999,-85.5,-90.5,-85,-86
-63,-88.5,-90.5,-91,-999,-86.5,-999,-86,-999
-48,-74,-74,-999,-90.5,-74,-999,-73.5,-73.5
-61.5,-93,-84.5,-91,-999,-79.5,-999,-79.5,-999

-999,-999,-79.5,-78.5,-61,-74,-62.5,-61,-77.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-66.5,-88,-87.5,-87.5,-999,-88,-87.5,-87.5,-87.5
-60.5,-86,-86,-85.5,-91,-85.5,-85.5,-999,-70.5
-74.5,-76,-76.5,-76,-999,-76.5,-76.5,-76,-76.5
-63,-59,-59.5,-59.5,-999,-59.5,-59.5,-59.5,-59.5
-62.5,-70,-70,-70,-999,-70.5,-70,-70,-70.5
-48,-74,-73.5,-73.5,-999,-73.5,-73.5,-999,-35.5
-61,-46.5,-46.5,-49.5,-999,-49.5,-49.5,-47,-49.5

-999,-999,-76.5,-83.5,-77,-77,-77,-77,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-67,-72.5,-999,-999,-91,-999,-74,-91,-85
-60.5,-999,-92.5,-999,-77,-71,-70.5,-999,-86.5
-74.5,-999,-999,-999,-79,-88.5,-75.5,-79,-88.5
-63,-999,-999,-78,-61.5,-999,-57,-61.5,-65
-63,-999,-999,-88.5,-73,-66.5,-999,-73,-76
-45.5,-999,-89,-999,-65.5,-58.5,-60.5,-999,-54.5
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-82,-82.5,-82.5,-82.5,-82,-82.5,-82,-999
-70,-999,-89,-91.5,-89.5,-90,-89,-90,-999
-67,-89,-88,-999,-87.5,-88.5,-88.5,-87.5,-999
-61.5,-999,-84.5,-999,-84,-84.5,-85,-84.5,-999
-74,-999,-90,-999,-90,-89,-89.5,-88.5,-999
-63,-999,-70,-83.5,-69.5,-69.5,-69.5,-70,-999
-62.5,-999,-87.5,-93.5,-87,-87.5,-999,-86.5,-999
-45.5,-999,-73,-999,-72.5,-72.5,-73,-72.5,-64.5
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-62.5,-62.5,-62.5,-999,-62,-62.5,-62.5,-62
-70,-68.5,-69,-999,-999,-999,-999,-999,-999
-67,-65.5,-999,-999,-999,-999,-999,-999,-999
-61,-79.5,-79.5,-80,-79.5,-80.5,-80,-79.5,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-63,-87,-87,-86,-91,-999,-86.5,-82.5,-999
-64.5,-74.5,-75,-75,-75,-75.5,-75,-75,-999
-45.5,-65,-65.5,-65.5,-65.5,-65.5,-65.5,-65.5,-999
-61,-68,-68,-68,-68,-68,-68,-68,-999

-999,-85.5,-85.5,-82,-65,-75.5,-82,-65,-82
-70,-83.5,-83.5,-83.5,-999,-83.5,-83.5,-83.5,-83.5
-67,-61,-999,-91.5,-999,-92,-91.5,-93,-91
-62.5,-84.5,-84.5,-85,-999,-83.5,-85,-999,-80
-74,-80.5,-80.5,-80,-999,-80.5,-80,-80.5,-80
-63,-61.5,-61.5,-61.5,-999,-61,-61.5,-61.5,-61.5
-63,-74.5,-74,-74,-999,-74,-74.5,-74.5,-74
-45.5,-70,-70,-70,-87,-70,-70,-999,-45
-61,-54,-53.5,-53.5,-999,-53.5,-53.5,-53.5,-53.5

-999,-999,-87,-62.5,-78,-62.5,-62.5,-62,-62
-999,-999,-999,-999,-999,-999,-999,-999,-999
-67,-66.5,-999,-999,-85,-999,-82.5,-999,-84.5
-60.5,-78,-999,-999,-81.5,-72.5,-78.5,-999,-86.5
-74.5,-999,-999,-999,-83,-91,-84,-82.5,-87.5
-63,-88,-999,-81.5,-64,-999,-81.5,-64,-82
-63.5,-86,-92.5,-90.5,-76.5,-68,-92.5,-76.5,-75
-48,-78.5,-999,-999,-69.5,-60.5,-67,-999,-54.5
-62.5,-86.5,-86.5,-91.5,-56.5,-61,-91.5,-56.5,-92

-999,-82.5,-82.5,-82.5,-999,-81,-83,-77.5,-77.5
-70,-999,-76.5,-84,-999,-83.5,-83.5,-83.5,-83
-67,-84,-84,-92,-84.5,-90.5,-91.5,-91.5,-91.5
-62,-999,-999,-999,-80.5,-92,-92.5,-999,-93.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-63,-999,-999,-61.5,-82,-61.5,-61.5,-61.5,-61.5
-63,-999,-999,-74.5,-79,-74,-74,-74,-74
-48,-999,-999,-61.5,-68.5,-61.5,-61,-999,-61.5
-61.5,-999,-88.5,-53.5,-76,-53,-53.5,-53.5,-53.5

-999,-60.5,-70.5,-85,-60.5,-60.5,-60.5,-999,-999
-70,-89,-89,-89,-999,-999,-999,-999,-999
-67,-58.5,-58,-999,-999,-999,-999,-85.5,-85.5
-60.5,-68.5,-68.5,-999,-999,-78,-89.5,-87,-87.5
-74.5,-87.5,-87,-999,-999,-999,-999,-88.5,-89
-63,-82,-82,-82,-999,-999,-75.5,-65,-65
-63,-92,-93,-91.5,-999,-73.5,-999,-76,-75.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-999,-94.5,-75.5,-999,-79.5,-999,-79.5,-79.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-67,-88,-999,-999,-88.5,-87.5,-88,-999,-999
-60.5,-71,-82.5,-999,-88.5,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-65,-59.5,-85,-84.5,-59,-59.5,-59.5,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-45.5,-71.5,-79.5,-999,-76.5,-71.5,-71.5,-999,-999
-63,-47,-71.5,-999,-47,-46.5,-47,-999,-999

-999,-999,-77.5,-65.5,-62.5,-999,-84,-62.5,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-66.5,-80.5,-81,-81,-999,-999,-999,-76.5,-999
-61.5,-999,-999,-999,-999,-77,-999,-77,-77.5
-74.5,-999,-999,-91.5,-999,-999,-999,-65,-79.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-65,-999,-999,-85.5,-999,-72.5,-999,-72,-72
-47.5,-92.5,-999,-93,-89,-92,-999,-92,-62.5
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-79,-79,-89.5,-999,-68,-68,-68,-999
-70,-999,-66.5,-72.5,-999,-999,-999,-84,-999
-66.5,-85.5,-999,-86,-999,-999,-999,-91.5,-999
-60,-999,-90.5,-999,-999,-999,-91.5,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-63,-999,-86,-65,-61.5,-999,-86,-61.5,-999
-63.5,-999,-84.5,-75.5,-999,-999,-999,-74,-999
-45.5,-999,-74,-88.5,-83.5,-80,-73.5,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-80.5,-79,-60.5,-68,-68,-77.5,-68.5,-61
-70.5,-68,-68,-999,-999,-89,-89,-89.5,-999
-67,-58,-999,-999,-999,-91,-87.5,-999,-999
-60.5,-68,-999,-999,-999,-85,-93,-999,-999
-75,-92.5,-92.5,-999,-999,-85.5,-85.5,-86,-999
-63,-77,-999,-89,-999,-67,-67,-67,-999
-63.5,-86.5,-85.5,-999,-999,-80,-80,-80,-999
-48.5,-88.5,-999,-999,-999,-61.5,-62,-999,-999
-61.5,-80.5,-81.5,-999,-93,-59.5,-59.5,-60,-999

-999,-67.5,-68,-89,-84.5,-74.5,-74.5,-61,-75
-70,-999,-68,-67.5,-88.5,-88.5,-91.5,-89,-79
-67,-65,-65,-79,-92.5,-999,-88.5,-999,-69
-60.5,-78,-76.5,-999,-88,-88,-85,-999,-70.5
-74.5,-999,-999,-76.5,-85.5,-85.5,-90,-86,-72.5
-63,-999,-85.5,-61.5,-67,-67,-70.5,-67,-49.5
-64.5,-999,-84,-70.5,-80,-79.5,-999,-80,-61
-45.5,-78,-76.5,-83,-73.5,-73.5,-73.5,-999,-35.5
-61,-999,-88,-70,-59.5,-59.5,-74,-60,-999

-999,-999,-90,-63,-63,-999,-63,-63,-63
-999,-999,-999,-999,-999,-999,-999,-999,-999
-68,-61,-999,-999,-89.5,-999,-88.5,-89,-88.5
-61.5,-79.5,-79.5,-999,-85.5,-72,-71.5,-999,-72
-75.5,-81,-81,-999,-999,-89,-90,-77.5,-89
-999,-999,-999,-999,-999,-999,-999,-999,-999
-64.5,-73.5,-74,-999,-84,-66.5,-67,-71,-67
-46,-77,-77.5,-999,-73,-59,-59,-999,-59
-63.5,-68.5,-69,-999,-80.5,-62,-61.5,-50.5,-62

-999,-76,-76.5,-87,-86.5,-84,-999,-84.5,-999
-71.5,-999,-77.5,-83.5,-83.5,-999,-84,-83.5,-83.5
-68.5,-76,-75,-91,-83,-999,-86,-999,-93
-62.5,-87.5,-86.5,-84,-79,-999,-82.5,-999,-999
-76,-999,-999,-81,-80.5,-999,-80.5,-80.5,-81
-64,-999,-999,-62,-61.5,-999,-61.5,-61.5,-61.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-49,-88,-87.5,-74,-74,-999,-74,-999,-74.5
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-80,-78,-76,-999,-74.5,-74.5,-60,-74.5
-71,-64,-64,-91,-999,-91.5,-999,-999,-999
-68,-66,-999,-999,-90.5,-999,-999,-999,-999
-62,-86.5,-87,-999,-86.5,-75.5,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-64,-89,-88.5,-85,-89,-83,-89,-83,-83.5
-63.5,-81.5,-81.5,-999,-85.5,-70.5,-999,-999,-999
-46,-92.5,-91.5,-999,-75.5,-62,-92,-999,-71
-61,-93.5,-91.5,-94,-81.5,-74,-92.5,-74,-999

-999,-81,-81,-62,-62,-62,-81,-62,-62
