-999,-74,-76.5,-61.5,-75.5,-72,-72,-46,-53.5,1.5,1.5,0,940.5,15.5,18,3,16,-3.85731e-15,0.5,-15.5,-6.5,
-74.5,-999,-60,-68,-82.5,-69.5,-72.5,-66.5,-71.5,1.5,1,7,16,940.5,1.5,9.5,19,9,10.5,1,11.5,
-81.5,-60.5,-999,-70,-90.5,-71,-75.5,-79.5,-80.5,1.5,1.5,1,23,2,940.5,11.5,32,12.5,15.5,18,18,
-62,-70,-71,-999,-71.5,-58,-77.5,-62,-68,1.5,-0.5,5,3.5,11.5,12.5,940.5,12.5,-0.5,15.5,2,8,
-74.5,-77.5,-92.5,-71,-999,-71.5,-79,-65.5,-64,1.5,4,8,16,19,34,12.5,940.5,12,15,5.5,4,
-58.5,-67.5,-71,-59,-70.5,-999,-76.5,-57.5,-64,1.5,-2.5,7,-3.85731e-15,9,12.5,0.5,12,940.5,13.5,-2.5,4,
-59,-69,-74,-74,-73.5,-72,-999,-60.5,-56,1.5,-4,8,0.5,10.5,15.5,15.5,15,13.5,940.5,0.5,-4,
-43,-59.5,-76.5,-87,-65,-57,-61.5,-999,-40,1.5,-15.5,9,-15.5,1,18,28.5,6.5,-1.5,3,939,-20,
-54.5,-71.5,-76.5,-78.5,-64,-67.5,-56,-40.5,-999,1.5,-20,7,-4,13,18,20,5.5,9,-2.5,-19.5,939,

-999,-61,-65.5,-70.5,-999,-65,-79.5,-55,-62.5,1.5,1.5,0,940.5,0.4,7,7.8,935.2,-10.5,-0.7,-3.5,4,
-77.5,-999,-53,-88,-80,-999,-73.5,-64,-82.5,1.1,-6.7,6,19,938.4,-6.6,25.3,16.2,15.4,-6.7,2.9,24,
-74.5,-54,-999,-73.5,-86.5,-84,-75,-999,-72.5,1.5,-5.2,6,16,-6.6,940.5,10.8,22.7,8.5,-5.2,11.5,14,
-71,-93,-73.5,-999,-77.5,-60.5,-76,-83.5,-999,-0.6,-4.2,6,12.5,32.4,15,936.3,13.7,-15,-4.2,11.8,0.8,
-999,-999,-999,-999,-999,-999,-999,-999,-999,1.5,1.7,7,940.5,938.4,940.5,936.3,935.2,10.2,12.7,1.7,6.2,
-66.5,-76,-86.5,-61.5,-74,-999,-65,-53.5,-73,-2.7,-10.5,9,8,15.4,28,-1.2,10.2,923.5,-15.2,-22,-6.5,
-74,-73.5,-75.5,-77,-76.5,-66.5,-999,-62.5,-51.5,-3.8,-28.7,8,15.5,12.9,17,14.3,12.7,-9,918.8,-18.7,-28.7,
