-999,-74,-76.5,-61.5,-75.5,-72,-72,-46,-53.5
-74.5,-999,-60,-68,-82.5,-69.5,-72.5,-66.5,-71.5
-81.5,-60.5,-999,-70,-90.5,-71,-75.5,-79.5,-80.5
-62,-70,-71,-999,-71.5,-58,-77.5,-62,-68
-74.5,-77.5,-92.5,-71,-999,-71.5,-79,-65.5,-64
-58.5,-67.5,-71,-59,-70.5,-999,-76.5,-57.5,-64
-59,-69,-74,-74,-73.5,-72,-999,-60.5,-56
-43,-59.5,-76.5,-87,-65,-57,-61.5,-999,-40
-54.5,-71.5,-76.5,-78.5,-64,-67.5,-56,-40.5,-999

-999,-61,-65.5,-70.5,-999,-65,-79.5,-55,-62.5
-77.5,-999,-53,-88,-80,-999,-73.5,-64,-82.5
-74.5,-54,-999,-73.5,-86.5,-84,-75,-999,-72.5
-71,-93,-73.5,-999,-77.5,-60.5,-76,-83.5,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-66.5,-76,-86.5,-61.5,-74,-999,-65,-53.5,-73
-74,-73.5,-75.5,-77,-76.5,-66.5,-999,-62.5,-51.5
-56,-63.5,-70,-74.5,-65.5,-53.5,-61.5,-999,-36
-66.5,-86,-73.5,-63.5,-70,-69,-51.5,-36,-999

-999,-69,-77.5,-77.5,-77.5,-77,-77.5,-77,-77.5
-60,-999,-53.5,-91.5,-86,-86,-73.5,-65.5,-79
-66.5,-56.5,-999,-74.5,-999,-74.5,-73.5,-75.5,-77
-69.5,-86.5,-74.5,-999,-76,-66.5,-79,-73.5,-63.5
-91,-84.5,-999,-75.5,-999,-75.5,-73.5,-64.5,-70
-70.5,-77,-77.5,-67,-76.5,-999,-63,-45,-55.5
-79.5,-74,-74,-78.5,-75,-63.5,-999,-69,-52
-54,-62.5,-73,-999,-65.5,-50,-70,-999,-34.5
-63.5,-79,-75.5,-63,-72,-56,-53,-34.5,-999

-999,-86,-70,-85,-999,-87,-86.5,-87.5,-87
-61,-999,-87,-86.5,-87,-999,-86,-86.5,-86
-62,-66,-999,-79.5,-94,-999,-999,-999,-999
-68.5,-999,-87.5,-79,-79.5,-999,-79.5,-79.5,-79.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-66.5,-91,-68,-68.5,-68.5,-999,-69.5,-69.5,-70
-78,-82.5,-71.5,-71,-70.5,-71,-70,-69.5,-70
-53,-71,-57,-57,-58,-57.5,-58.5,-58.5,-59
-62,-84,-64.5,-63.5,-63.5,-64.5,-62.5,-62.5,-62.5

-999,-999,-93.5,-93.5,-58.5,-58.5,-58.5,-58.5,-58.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-61.5,-83,-999,-90.5,-999,-83,-82.5,-82,-82
-70,-78.5,-81.5,-999,-90,-78.5,-78.5,-78.5,-78.5
-82.5,-81.5,-999,-81,-999,-81,-81,-81,-80.5
-65.5,-62,-92,-64,-88.5,-62,-62,-62,-62
-81,-86,-86.5,-85.5,-89.5,-86.5,-999,-85.5,-86.5
-52,-66,-77,-67.5,-78,-66,-66,-66,-65.5
-61,-61.5,-88,-61.5,-90,-62,-62,-62,-61

-999,-85,-63,-999,-999,-999,-999,-92,-999
-60.5,-79,-66.5,-79.5,-999,-79,-79.5,-79.5,-79.5
-62.5,-999,-75,-999,-75,-74.5,-75,-75.5,-75.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999
-51,-999,-76,-999,-82,-82,-82,-999,-82.5
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-67,-90.5,-74,-95,-91,-59.5,-59.5,-90
-60.5,-52.5,-53,-999,-999,-999,-999,-67,-999
-61.5,-75,-999,-999,-999,-999,-999,-71.5,-999
-68,-74.5,-74.5,-999,-999,-90,-999,-78.5,-999
-75,-84,-83.5,-999,-999,-999,-999,-64.5,-999
-69,-91,-89.5,-999,-999,-86.5,-86.5,-82.5,-82.5
-72,-76.5,-77.5,-999,-999,-83.5,-999,-87.5,-87.5
-49.5,-87.5,-71.5,-999,-92.5,-73,-93.5,-69.5,-69.5
-60,-73.5,-73.5,-999,-999,-84.5,-85,-38.5,-999

-999,-999,-72.5,-72.5,-72.5,-72.5,-72,-73,-72.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-63,-62,-75,-80.5,-999,-88,-75,-75.5,-73.5
-67,-88.5,-73.5,-999,-999,-61.5,-86,-86,-73.5
-77,-999,-71,-84,-999,-76.5,-72.5,-73,-72
