-999,-70,-76,-55,-70,-52.5,-88.5,-54,-69.5,1.5,1.5,0,940.5,9.5,17.5,-4,11.5,-6.5,29,-6,8,
-68,-999,-50,-65.5,-63,-68.5,-999,-69,-72,1.5,-12,2,9.5,940.5,-12,7,4.5,10,17,9,12,
-78,-46.5,-999,-58,-73,-67,-999,-77,-79.5,1.5,-0.5,3,19.5,-12,940.5,-0.5,14.5,8.5,16.5,17,19.5,
-54.5,-65.5,-59,-999,-56,-58.5,-999,-64,-76.5,1.5,-4,9,-4,7,0.5,940.5,-3,-3.85731e-15,22,4,16.5,
-70,-65,-74.5,-55.5,-999,-60.5,-999,-71.5,-66,1.5,-3,3,11.5,6.5,16,-3,940.5,2,24,11.5,6,
-52,-68.5,-67,-59,-61.5,-999,-999,-57.5,-70.5,1.5,-6.5,9,-6.5,10,8.5,0.5,3,940.5,14,-2.5,10.5,
-87.5,-75.5,-75,-80.5,-82.5,-72.5,-999,-79,-70,1.5,10,8,29,17,16.5,22,24,14,940.5,19,10,
-52.5,-68.5,-77,-64.5,-72,-57.5,-999,-999,-62,1.5,-6,9,-6,10,18.5,6,13.5,-1,940.5,939,1.5,
-66.5,-71,-79,-76,-66.5,-71,-999,-61.5,-999,1.5,1.5,7,8,12.5,20.5,17.5,8,12.5,940.5,1.5,939,

-999,-61.5,-63.5,-64,-64.5,-66.5,-64.5,-62.5,-61,1.5,1.5,0,940.5,-2.3,0.4,-4.5,6,-6.5,6,-6.5,2.5,
-69.5,-999,-46,-65.5,-69.5,-69.5,-77.5,-70.5,-76.5,-12,-17.8,2,11,935.2,-17.8,-1,5.7,3.4,13.7,6.7,11.7,
-75,-46,-999,-59,-79.5,-68,-73.5,-76.5,-81,-0.6,-7.5,3,16.5,-17.8,935.9,-7.5,15.9,1.9,10.4,14.4,17.4,
-54,-65,-60.5,-999,-54,-59.5,-78.5,-64,-75.5,-3.8,-2,7,-4.5,1.2,-2.6,932.5,-14,-8,13.5,-2,10.5,
-68,-69.5,-79,-52.5,-999,-60.5,-80,-71,-65.5,-3.1,-14,3,9.5,5.7,15.9,-14,940.5,-5.6,21.5,12.5,7,
-52,-69.5,-67.5,-58.5,-61.5,-999,-70.5,-57.5,-71.5,-6.5,-6.5,9,-6.5,5.7,4.4,-8,3,932.9,4.9,-8.6,4.9,
-89.5,-77.5,-73.5,-80,-999,-71,-999,-78,-69.5,1.5,4.9,5,31,13.7,10.4,13.5,940.5,4.9,940.5,19.5,11,
-52,-70.5,-77.5,-64.5,-71,-57.5,-78,-999,-62.5,-6.1,-8.6,5,-6.5,6.7,14.4,-2,12.5,-8.6,19.5,940.5,3.5,
-66,-75.5,-80.5,-77,-65.5,-71,-69.5,-62,-999,1.5,3.5,7,7.5,11.7,17.4,10.5,7,4.9,11,3.5,940.5,

-999,-75,-75.5,-76,-78,-78,-78.5,-79,-79.5,1.5,1.5,0,940.5,1,1.5,-2.5,-0.5,-4.5,20,-4,2.5,
-59.5,-86.5,-52,-90.5,-87,-84.5,-77,-77.5,-78,-17.8,-22,2,1,24.6,-22,-0.4,-6.4,-0.4,18.5,5.5,16.6,
-62,-61.5,-62,-62.5,-63,-76.5,-79,-79.5,-80,-7.5,-12.5,5,3.5,-0.4,-12,-12.5,-17,-12.5,9.5,-5.5,4.5,
-56,-61.5,-61.5,-999,-57.5,-65,-70.5,-70,-69.5,-1.9,-9.5,4,-2.5,-0.4,-12.5,932.5,-9.5,-5,12,-2,8.9,
-58,-55.5,-57,-57,-57,-65.5,-78.5,-79,-80,-14,-6.4,1,-0.5,-6.4,-17,-9.5,-1.5,-3,20,7,18.5,
-54,-61.5,-61.5,-61.5,-61.5,-999,-65.5,-65.5,-65.5,-6.5,-4.5,9,-4.5,-0.4,-12.5,-5,3,930.5,7,-6.5,4.9,
