-999,-70,-76,-55,-70,-52.5,-88.5,-54,-69.5
-68,-999,-50,-65.5,-63,-68.5,-999,-69,-72
-78,-46.5,-999,-58,-73,-67,-999,-77,-79.5
-54.5,-65.5,-59,-999,-56,-58.5,-999,-64,-76.5
-70,-65,-74.5,-55.5,-999,-60.5,-999,-71.5,-66
-52,-68.5,-67,-59,-61.5,-999,-999,-57.5,-70.5
-87.5,-75.5,-75,-80.5,-82.5,-72.5,-999,-79,-70
-52.5,-68.5,-77,-64.5,-72,-57.5,-999,-999,-62
-66.5,-71,-79,-76,-66.5,-71,-999,-61.5,-999

-999,-61.5,-63.5,-64,-64.5,-66.5,-64.5,-62.5,-61
-69.5,-999,-46,-65.5,-69.5,-69.5,-77.5,-70.5,-76.5
-75,-46,-999,-59,-79.5,-68,-73.5,-76.5,-81
-54,-65,-60.5,-999,-54,-59.5,-78.5,-64,-75.5
-68,-69.5,-79,-52.5,-999,-60.5,-80,-71,-65.5
-52,-69.5,-67.5,-58.5,-61.5,-999,-70.5,-57.5,-71.5
-89.5,-77.5,-73.5,-80,-999,-71,-999,-78,-69.5
-52,-70.5,-77.5,-64.5,-71,-57.5,-78,-999,-62.5
-66,-75.5,-80.5,-77,-65.5,-71,-69.5,-62,-999

-999,-75,-75.5,-76,-78,-78,-78.5,-79,-79.5
-59.5,-86.5,-52,-90.5,-87,-84.5,-77,-77.5,-78
-62,-61.5,-62,-62.5,-63,-76.5,-79,-79.5,-80
-56,-61.5,-61.5,-999,-57.5,-65,-70.5,-70,-69.5
-58,-55.5,-57,-57,-57,-65.5,-78.5,-79,-80
-54,-61.5,-61.5,-61.5,-61.5,-999,-65.5,-65.5,-65.5
-85,-81.5,-83.5,-84.5,-84,-999,-81,-84.5,-83.5
-54.5,-68,-68.5,-68,-68,-65.5,-66,-999,-69
-61,-78.5,-78.5,-78,-77,-76,-74,-75.5,-77

-999,-86,-88,-91,-88.5,-87,-83.5,-83.5,-81
-53.5,-85.5,-82.5,-81.5,-79.5,-78.5,-78,-77.5,-77.5
-60,-76,-74.5,-73,-72,-71.5,-71,-70,-69.5
-57,-62,-61.5,-61.5,-61,-61,-62.5,-62,-62
-55,-70,-70,-70.5,-71,-72,-73.5,-75,-79
-65.5,-70.5,-70.5,-70.5,-71,-999,-76,-70.5,-70.5
-74,-85.5,-89.5,-86.5,-87,-86,-85,-87,-90
-55.5,-68,-68,-68,-68.5,-68.5,-68.5,-68,-68
-68,-76.5,-78,-79.5,-81.5,-81.5,-81,-80,-79

-999,-53.5,-53,-53,-53,-53.5,-53.5,-53.5,-53.5
-47.5,-74.5,-74,-73.5,-73,-73.5,-73,-73,-73
-60.5,-65,-65,-65.5,-65,-65.5,-65.5,-65.5,-65.5
-52.5,-60.5,-60.5,-59.5,-59.5,-59,-59,-58.5,-58.5
-53,-68,-67.5,-66.5,-66.5,-67,-67,-66.5,-66.5
-76,-74,-74,-74,-74,-999,-75,-74.5,-75
-63.5,-81,-81,-82,-82.5,-83.5,-83,-82,-81
-59,-65.5,-65.5,-65.5,-66,-66,-66.5,-66,-66
-69,-70.5,-70.5,-71,-71,-71,-71.5,-71.5,-71.5

-999,-78.5,-87.5,-87,-79,-78.5,-87,-87,-79
-41.5,-999,-66,-66,-66.5,-67,-67,-67.5,-67.5
-60,-61,-60,-59.5,-59,-58.5,-58,-57.5,-57
-53.5,-64.5,-64,-64.5,-65,-65.5,-65.5,-66,-66
-56,-64.5,-63.5,-62.5,-62,-61.5,-61,-62,-61
-69,-71,-71,-71,-71.5,-72,-72,-72,-71.5
-63,-74.5,-74.5,-74.5,-75,-75,-74.5,-75,-75
-58.5,-84.5,-85.5,-84.5,-85.5,-86,-85.5,-85,-84
-67.5,-79,-80,-80,-81,-81.5,-82.5,-83,-82.5

-999,-66.5,-66,-82,-81.5,-999,-81.5,-81,-81.5
-43.5,-66,-66,-85,-66,-65.5,-72.5,-999,-66
-60,-73,-999,-84,-72,-72,-68,-999,-71.5
-54.5,-76,-76,-94,-75,-74.5,-91.5,-999,-74.5
-48.5,-76.5,-92.5,-75.5,-76,-75.5,-63,-999,-75.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-64.5,-85.5,-84.5,-93,-85.5,-85.5,-999,-999,-85
-58,-72.5,-95.5,-89.5,-72.5,-72.5,-71.5,-999,-72.5
-61,-92,-91.5,-90,-92,-92,-61.5,-999,-77

-999,-83.5,-83.5,-83.5,-84,-83.5,-83,-83,-84
-43.5,-999,-72.5,-81,-81,-999,-80.5,-80.5,-80
-61,-67.5,-67.5,-85.5,-85,-999,-84.5,-84.5,-84.5
-53.5,-77,-77.5,-79,-79,-83.5,-78.5,-79,-78.5
-52,-71.5,-71,-59.5,-999,-999,-69,-67.5,-76
-65.5,-80.5,-81,-61,-999,-999,-82,-65,-77.5
-66.5,-90.5,-999,-92.5,-999,-999,-999,-73.5,-93.5
-57,-999,-999,-92.5,-92.5,-93.5,-92.5,-999,-80
-61.5,-999,-999,-70,-999,-999,-66,-76.5,-999

-999,-63.5,-63.5,-63.5,-63.5,-63.5,-63.5,-63.5,-63.5
-44.5,-67.5,-67.5,-68,-68,-68,-68,-68,-68.5
-61,-67.5,-999,-67.5,-67.5,-67.5,-67,-68,-67.5
-53.5,-78,-78,-77.5,-78,-77.5,-77.5,-78,-78
-51,-76.5,-77,-77.5,-77.5,-77.5,-77.5,-77.5,-78
-66.5,-81,-82,-81.5,-82,-81.5,-81.5,-81.5,-81.5
-66.5,-92,-91.5,-91,-91,-73.5,-92,-71.5,-91
-56.5,-999,-999,-68,-68,-61.5,-68,-68,-83.5
-64,-92.5,-999,-67,-93.5,-92.5,-66.5,-93.5,-93.5

-999,-75.5,-75.5,-75.5,-61.5,-75.5,-75.5,-76,-61.5
-44,-999,-50.5,-50.5,-50.5,-50.5,-50.5,-51,-80
-60.5,-63.5,-63.5,-63.5,-63.5,-63,-63,-63,-63
-52.5,-71,-70.5,-70.5,-70.5,-70,-70,-70.5,-70
-52,-70,-69.5,-70,-69.5,-69.5,-69.5,-69.5,-69
-66,-79,-79,-79,-79,-79,-78.5,-79,-79
-68,-87,-87,-87,-71.5,-87.5,-86.5,-87.5,-86.5
-56.5,-93,-91.5,-85.5,-92,-92.5,-92,-92,-92.5
-62.5,-999,-90.5,-91,-92.5,-91,-91.5,-92.5,-91.5

-999,-63.5,-76.5,-82,-82,-999,-76,-82,-76.5
-44.5,-999,-67,-60.5,-88.5,-67,-67,-999,-88
-61.5,-61,-61,-61,-61.5,-61,-61.5,-999,-61.5
-53,-81.5,-81,-81,-68.5,-81,-81,-81,-68.5
-52.5,-83.5,-83,-84,-67.5,-83,-83.5,-83,-67
-999,-999,-999,-999,-999,-999,-999,-999,-999
-69,-88,-88,-88,-83.5,-89,-88,-87.5,-83.5
-56.5,-91,-90,-90.5,-90,-90.5,-90,-999,-90
-62.5,-92,-92.5,-89.5,-88.5,-89,-91.5,-93,-90

-999,-62.5,-62,-62,-62,-62,-62,-62.5,-62
-44,-999,-60.5,-61,-61,-999,-62,-999,-62
-61.5,-63.5,-999,-61.5,-65,-89,-79.5,-999,-71.5
-53,-71.5,-69.5,-86.5,-87,-81.5,-69,-87,-69
-52,-69.5,-71,-88.5,-89.5,-999,-71,-89.5,-71
-65.5,-80,-74,-86.5,-86.5,-999,-73.5,-86,-73.5
-68.5,-85.5,-83.5,-71,-72,-999,-83,-999,-83.5
-56.5,-91.5,-999,-67,-71.5,-88.5,-78.5,-999,-73
-62,-91,-85.5,-66,-74.5,-999,-85.5,-999,-85

-999,-73.5,-73.5,-73,-73,-73.5,-73,-73,-73.5
-43.5,-999,-53,-83.5,-53,-82,-53,-84.5,-53
-61,-62.5,-62.5,-62.5,-62.5,-62.5,-62,-63,-62.5
-53,-70,-70,-70,-70.5,-70,-70.5,-70.5,-70.5
-52.5,-68.5,-68,-68,-68.5,-68,-68,-68.5,-68.5
-65.5,-78,-78,-78,-78.5,-78,-78,-78.5,-78
-69,-84,-84,-83.5,-84,-83.5,-83,-84,-84
-57,-90,-90,-89.5,-89.5,-90,-89.5,-89.5,-90
-62,-91,-90.5,-88.5,-90.5,-90.5,-90.5,-90.5,-91.5

-999,-63,-63.5,-63.5,-63,-63.5,-63.5,-63,-63
-44,-999,-72,-72.5,-73,-70.5,-72.5,-73,-73
-61.5,-73.5,-73.5,-73,-73,-73.5,-73,-73.5,-74
-53,-81.5,-81,-81,-80.5,-81,-81,-81,-81.5
-52.5,-79.5,-79.5,-79,-79,-79.5,-79.5,-79,-79.5
-65,-89,-89.5,-89,-89.5,-89,-89.5,-89,-89.5
-69.5,-999,-999,-82.5,-83,-82,-82.5,-82.5,-82.5
-57,-999,-999,-83.5,-83.5,-67.5,-83,-83,-83.5
-62,-999,-999,-86.5,-86.5,-78,-86.5,-86,-86

-999,-78,-78,-78,-78,-78,-78,-77.5,-78
-44,-999,-72.5,-68,-67.5,-68,-77.5,-68,-67.5
-61.5,-64,-64,-63.5,-63.5,-64,-64,-64,-64
-53,-71.5,-72,-71.5,-71.5,-71.5,-71.5,-71.5,-71.5
-52,-70,-70,-69.5,-69.5,-70.5,-70,-69.5,-70
-65,-79,-79.5,-79.5,-79,-80,-79.5,-79.5,-79
-69.5,-84.5,-999,-85,-85,-85.5,-85.5,-84.5,-84.5
-57,-90,-999,-91,-89.5,-90.5,-90.5,-78,-90.5
-62,-91,-999,-91.5,-91.5,-91,-91.5,-92,-91

-999,-63,-75,-63,-63,-63,-75,-63,-81.5
-44,-999,-51,-60.5,-54,-63,-70.5,-999,-87
-61,-60,-60,-60,-60,-60,-72,-999,-60
-52.5,-82.5,-83,-83,-83.5,-83,-83,-83,-83
-52,-85,-85,-85,-85,-85,-85,-85,-86
-66,-81.5,-82,-82,-82,-81.5,-82,-82,-81.5
-70.5,-90.5,-92,-69,-90.5,-91.5,-90,-999,-91
-57,-84.5,-85,-65,-85,-84.5,-71.5,-999,-84.5
-63.5,-87.5,-93,-93,-93,-86.5,-61,-999,-92.5

-999,-63,-63.5,-63,-63.5,-63,-63,-63,-63
-44,-999,-61.5,-82,-81,-77,-61,-81.5,-999
-61,-64,-999,-64.5,-63.5,-64,-77,-64,-89
-52,-72,-68.5,-72,-71.5,-71.5,-68.5,-72,-77.5
-52,-70,-70.5,-70.5,-70,-70,-70.5,-70,-85.5
-64,-79.5,-72.5,-79.5,-78.5,-79,-72.5,-79,-88
-69.5,-84.5,-82.5,-84.5,-84.5,-85,-83,-84.5,-77
-57,-90.5,-999,-90,-90,-90,-76,-89.5,-88.5
-62,-91.5,-84,-91.5,-91,-91,-84.5,-91,-999

-999,-63,-63,-67.5,-67.5,-67.5,-62.5,-67.5,-67.5
-44,-999,-64,-64,-64,-64,-64,-64,-64
-61.5,-64,-64,-64,-64,-63.5,-64,-63.5,-64
-53,-71.5,-71.5,-72,-71.5,-71.5,-72,-71.5,-72
-52.5,-70,-70,-70.5,-70.5,-70,-70,-70,-70
-64,-79.5,-79,-79.5,-79,-79,-79,-79,-79.5
-70,-999,-84.5,-85,-84,-84.5,-85,-85,-84.5
-57,-90,-90,-90,-90.5,-90.5,-90,-89.5,-89.5
-62.5,-91,-91.5,-92.5,-91.5,-91,-91.5,-92.5,-92

-999,-63,-75,-63,-75,-75,-75,-63,-75
-44,-999,-59.5,-84.5,-85,-85,-70.5,-85,-84.5
-61,-64,-64,-63,-63,-63,-63.5,-999,-63
-52.5,-71.5,-72,-72,-72.5,-72.5,-71.5,-72,-72.5
-52,-70,-70,-75,-75,-75,-70,-75,-75.5
-64,-79,-79,-71,-71.5,-71.5,-79,-71,-71
-69.5,-84,-84.5,-80,-80.5,-80.5,-84,-80.5,-80.5
-57,-90,-89.5,-69,-69,-69,-89.5,-999,-69
-62,-91.5,-91,-81.5,-81.5,-82,-91.5,-82,-82

-999,-63.5,-63,-63,-62.5,-63,-63,-62.5,-63
-43.5,-999,-61.5,-85,-61.5,-61.5,-61.5,-84.5,-61.5
-60.5,-64,-999,-64,-69,-69,-69,-64,-83
-52,-72,-68.5,-72,-68.5,-68.5,-68.5,-72,-68.5
-51.5,-70.5,-70.5,-70,-70.5,-70.5,-70.5,-70,-71
-65,-79.5,-73,-79,-73,-73,-73.5,-79.5,-73.5
-69.5,-84.5,-82.5,-84,-83,-82.5,-83,-85,-83.5
-57,-90,-999,-89,-68,-68.5,-68.5,-90.5,-83
-63,-92,-83.5,-82,-84,-84,-84,-91.5,-84

-999,-63,-73.5,-63,-63.5,-63,-63.5,-63,-63
-44,-999,-51,-51,-51,-51,-51,-51.5,-51
-61,-64,-64,-63.5,-64,-64,-64,-63.5,-64
-52,-72,-72,-72,-72,-72,-72,-71.5,-72
-52,-70.5,-70,-70,-70,-70,-70,-70,-70
-64.5,-80.5,-80.5,-80.5,-79.5,-80.5,-80,-80,-80.5
-71,-84.5,-84,-84.5,-84.5,-84.5,-84,-84,-84.5
-57,-90,-89.5,-89.5,-89.5,-89.5,-90.5,-90.5,-90
-62,-999,-91.5,-91.5,-92,-92,-91.5,-91,-91

-999,-63.5,-75,-82,-82,-63.5,-82.5,-82,-63.5
-43.5,-999,-60,-61.5,-61.5,-61.5,-61,-61.5,-87
-60.5,-64,-999,-64,-64,-63.5,-64,-64,-64
-52,-71.5,-67,-71.5,-72,-71.5,-72,-72,-71.5
-51.5,-70.5,-69,-70,-70.5,-70,-69.5,-70,-70
-63.5,-80,-72.5,-80,-80,-80,-80,-80,-80
-69,-84.5,-81.5,-84.5,-85,-85,-85.5,-84.5,-84.5
-57,-89.5,-999,-88.5,-89.5,-90.5,-90,-89,-89.5
-61,-91.5,-83,-74.5,-92,-91,-91,-92.5,-92

-999,-88.5,-75,-88,-88.5,-88,-72,-69.5,-88.5
-44.5,-999,-61.5,-60.5,-61,-78.5,-60.5,-999,-88
-61,-64,-999,-61.5,-63.5,-63.5,-63,-999,-64
-52,-71,-69,-87,-87,-70.5,-88,-87.5,-71
-52.5,-70.5,-70.5,-88.5,-88.5,-71,-89,-89,-70.5
-65,-80,-74,-85.5,-85.5,-80.5,-85,-85,-81
-67,-84.5,-82,-68,-71,-84,-71,-999,-85
-57,-90,-999,-66,-69,-89.5,-69,-999,-89.5
-61,-92,-84,-63.5,-74,-999,-73.5,-999,-91.5

-999,-62,-61.5,-62,-61.5,-61.5,-77,-61.5,-61.5
-44,-85.5,-61.5,-86.5,-85.5,-86,-61,-85.5,-85.5
-61.5,-83,-999,-83,-83,-83.5,-65,-83.5,-83.5
-52.5,-78,-69,-78,-78,-77.5,-78,-78,-77.5
-52.5,-77,-71,-92,-77,-999,-79,-77,-77
-66,-87.5,-74.5,-87,-87.5,-999,-75.5,-87.5,-87
-64.5,-999,-81.5,-84.5,-84.5,-999,-85,-85,-85.5
-57,-80.5,-999,-80.5,-81,-81,-70.5,-81,-80.5
-61,-88,-83,-89.5,-89,-88.5,-90,-89,-88.5

-999,-77,-77,-77,-77,-77.5,-77,-77,-77
-44,-999,-53.5,-77,-55.5,-55.5,-79.5,-77,-76.5
-60.5,-63,-62.5,-62.5,-62.5,-62.5,-82,-62.5,-62.5
-52,-70.5,-70,-70.5,-70,-70.5,-75.5,-70,-70
-52.5,-69,-68.5,-68.5,-68,-68,-70.5,-68,-68
-66,-80,-79.5,-79.5,-79,-79.5,-87.5,-79,-79
-64,-83.5,-83,-83,-83,-83,-999,-82.5,-83
-57,-90.5,-89.5,-89.5,-89.5,-89,-81.5,-89.5,-89.5
-61,-90.5,-89.5,-91.5,-89.5,-90,-71.5,-90.5,-90

-999,-63,-80.5,-61.5,-63,-63,-63,-63,-81
-44,-999,-45.5,-62,-61,-64,-73,-999,-75
-60.5,-47.5,-45.5,-60.5,-63,-45,-75,-999,-47.5
-52,-82.5,-82.5,-83,-83,-83,-83,-82.5,-83
-52,-84,-84,-84.5,-84.5,-84.5,-84.5,-84,-84.5
-66,-80.5,-80.5,-80.5,-80.5,-81,-80.5,-80.5,-80.5
-64,-90.5,-89.5,-91,-91,-91,-90.5,-90.5,-89.5
-56.5,-74.5,-74.5,-66.5,-69,-74.5,-75,-999,-74.5
-61,-75.5,-75,-63,-73,-75.5,-64.5,-999,-75

