-999,-51,-62,-42.5,-46.5,-66,-80.5,-62,-65
-49,-999,-55.5,-67,-53.5,-73,-999,-68.5,-69.5
-61,-55,-999,-56,-61,-61,-999,-72.5,-86.5
-42.5,-67.5,-57.5,-999,-42.5,-47,-999,-57.5,-57
-44.5,-54,-61,-41,-999,-76,-999,-63,-61.5
-65.5,-73,-61.5,-48,-75.5,-999,-999,-62.5,-76.5
-80.5,-84.5,-78,-72,-70.5,-74,-999,-80.5,-68
-60.5,-68.5,-72.5,-56.5,-62.5,-62,-999,-999,-81
-63.5,-69.5,-86.5,-56,-60.5,-76.5,-999,-81,-999

-999,-62,-62,-61.5,-62.5,-61.5,-62,-62,-62
-47.5,-999,-56.5,-64.5,-51.5,-79,-78.5,-71.5,-68.5
-59.5,-56.5,-999,-54,-73.5,-60.5,-79,-78,-91
-42,-64.5,-56,-999,-42.5,-49,-79.5,-57.5,-58
-43.5,-51.5,-73,-41,-999,-68.5,-69.5,-66,-58.5
-62.5,-88,-61,-45,-69.5,-999,-75,-60.5,-69.5
-68.5,-79.5,-79.5,-80.5,-69.5,-74.5,-999,-87,-64.5
-63.5,-71.5,-78,-57,-65.5,-60,-86.5,-999,-81
-63,-68.5,-92.5,-56.5,-59,-69.5,-64.5,-81,-999

-999,-67,-81.5,-67,-67,-67,-75.5,-66.5,-66
-49.5,-999,-61,-80.5,-66.5,-79.5,-79.5,-79,-78.5
-62.5,-66,-66,-71.5,-84.5,-71,-71.5,-71,-70.5
-42,-74,-73.5,-999,-60.5,-61,-61.5,-62.5,-62
-44,-61.5,-61.5,-61.5,-999,-61,-61.5,-61,-61
-60,-81.5,-81.5,-66,-76.5,-66,-66,-66,-66
-72,-999,-82.5,-999,-88,-999,-72,-78.5,-76
-66,-82.5,-82,-74,-80,-74,-74.5,-75,-75
-62,-79,-79,-72.5,-71,-72.5,-72.5,-72.5,-72

-999,-85,-74.5,-75,-75,-74.5,-74,-73,-71.5
-45.5,-86,-999,-87.5,-87.5,-87,-79.5,-88,-87
-60.5,-70,-999,-70.5,-71,-71.5,-72.5,-71.5,-71.5
-46,-79.5,-72.5,-999,-79.5,-78.5,-71.5,-76,-73.5
-44,-64.5,-77,-64.5,-64,-64.5,-65.5,-64,-64
-74,-69,-87,-69,-68.5,-68,-79,-68,-67.5
-71.5,-999,-91.5,-92.5,-90,-89,-999,-88,-88
-61.5,-77.5,-92.5,-78,-78,-79,-76,-79.5,-79.5
-61,-77,-91.5,-77.5,-77.5,-77.5,-63.5,-76.5,-76

-999,-69,-68,-63,-67,-67,-68,-68.5,-69
-51.5,-999,-89.5,-89.5,-87.5,-999,-84,-82.5,-80
-53,-999,-80.5,-81.5,-82,-82,-81.5,-80.5,-79
-52.5,-999,-73,-999,-73.5,-73.5,-84.5,-73.5,-71
-44.5,-89,-66.5,-66.5,-66,-66.5,-67,-66,-66
-61,-999,-72.5,-73,-72.5,-72.5,-72.5,-72,-71.5
-66,-999,-89.5,-999,-93,-999,-89,-87.5,-87
-61.5,-999,-83.5,-84,-83,-82,-81,-80,-79
-60.5,-999,-79.5,-79.5,-78,-77.5,-77,-76.5,-75.5

-999,-79.5,-79.5,-79,-83.5,-79.5,-84.5,-84,-79.5
-53.5,-999,-72.5,-66.5,-74,-76.5,-79,-79.5,-81
-56,-70.5,-79,-66.5,-77.5,-78,-78,-999,-78.5
-46.5,-68,-62.5,-999,-61.5,-61.5,-62,-62,-62.5
-54,-71,-85.5,-60,-999,-85,-76.5,-84.5,-76.5
-63,-83,-80.5,-67,-77,-75.5,-75.5,-75,-74.5
-67.5,-999,-91,-79.5,-90,-90,-87.5,-86.5,-85
-61.5,-84,-80,-67.5,-79,-78.5,-78.5,-78.5,-78
-60.5,-999,-75,-68,-74.5,-74.5,-75,-75,-75

-999,-58.5,-57.5,-57,-56.5,-56,-56,-56,-56
-57,-999,-60.5,-82.5,-86.5,-87,-86,-999,-999
-61,-59,-999,-76.5,-89.5,-89,-92.5,-999,-999
-44,-77.5,-77.5,-77.5,-77,-77.5,-77,-76.5,-78
-51.5,-86,-86.5,-86.5,-88,-84.5,-87,-88,-85
-61,-89,-90,-79,-86,-999,-86,-85.5,-90.5
-62,-81,-81.5,-81.5,-999,-81,-999,-999,-81.5
-60.5,-94.5,-82.5,-74.5,-89.5,-82.5,-90,-999,-999
-57,-83,-87,-76.5,-88.5,-88.5,-88,-92.5,-999

-999,-71.5,-999,-74,-75,-89.5,-85,-77.5,-79
-36,-69,-69,-69,-69.5,-70,-70,-70,-69.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-42,-68,-73,-999,-69.5,-77,-85,-67,-66
-45,-61,-61,-61,-60.5,-61.5,-61.5,-61,-61.5
-64.5,-69.5,-69,-69,-68.5,-68.5,-68.5,-68,-68
-66,-77,-77,-77.5,-78,-78.5,-78.5,-78.5,-79
-67,-66.5,-66.5,-67,-66.5,-67,-67,-67,-67
-62,-67.5,-67,-67,-66.5,-66.5,-66.5,-66,-66

-999,-65.5,-65,-64,-65,-64.5,-63,-61.5,-61.5
-52,-84.5,-84.5,-82.5,-81,-84.5,-85,-80,-85
-77,-81.5,-999,-76.5,-999,-83.5,-89,-90.5,-999
-47.5,-73.5,-73.5,-999,-72.5,-66,-82.5,-71.5,-71
-48.5,-90,-90,-73,-999,-79.5,-75.5,-77,-83.5
-72,-89.5,-90,-76.5,-999,-999,-85.5,-75.5,-82
-65,-88,-999,-89.5,-999,-999,-999,-84.5,-75
-61,-87.5,-999,-82.5,-86,-76.5,-85,-999,-89.5
-65,-89.5,-999,-82,-999,-84.5,-74.5,-88.5,-999

-999,-42,-82.5,-61.5,-59,-79,-999,-80.5,-80.5
-37.5,-999,-84,-74,-81.5,-83.5,-80,-86.5,-79
-57.5,-81,-79,-72,-77,-76.5,-75.5,-999,-75
-44,-78,-79,-999,-81,-81.5,-84,-85.5,-88.5
-45,-85.5,-83.5,-64,-81.5,-80.5,-80,-79.5,-78.5
-65,-91,-87.5,-76.5,-92,-999,-92.5,-78,-88
-999,-999,-999,-999,-999,-999,-999,-999,-999
-61.5,-90,-92,-75.5,-92,-93,-84,-93.5,-93
-61.5,-93,-85.5,-72.5,-85.5,-91,-75,-95,-91

-999,-67,-61.5,-66.5,-64.5,-64.5,-64.5,-64,-64
-27,-999,-68.5,-68,-70,-79,-999,-86.5,-82
-64.5,-62,-999,-69,-67.5,-77.5,-999,-999,-999
-49,-68,-76.5,-999,-60,-64.5,-75.5,-74,-76
-42,-69,-76,-59.5,-999,-74.5,-72.5,-75,-77
-64,-78.5,-83,-63.5,-74,-999,-999,-77,-85.5
-65.5,-76.5,-90,-70.5,-67,-86.5,-999,-90,-79.5
-62,-80,-999,-68.5,-70,-72.5,-999,-999,-999
-59.5,-72,-999,-67,-67.5,-77.5,-77,-93.5,-999

-999,-68.5,-75.5,-60.5,-66,-62,-63,-72,-75
-32,-999,-52.5,-76.5,-72,-72,-72,-71.5,-71.5
-59.5,-80.5,-999,-67.5,-72,-71.5,-72,-71.5,-72
-52,-92,-57,-999,-67,-66.5,-66,-65.5,-65.5
-43.5,-85.5,-57.5,-64,-999,-62,-61,-62.5,-60.5
-65,-999,-66.5,-68.5,-78.5,-78,-78,-77.5,-77.5
-66,-999,-69.5,-78,-72.5,-72,-72,-71.5,-71.5
-61.5,-999,-77.5,-73,-76.5,-76,-76.5,-76,-76
-61,-999,-74.5,-70.5,-74.5,-74,-74,-73.5,-73.5

-999,-85,-84,-84,-83,-83.5,-82.5,-82.5,-83
-32,-999,-66.5,-71.5,-72.5,-67,-64.5,-71.5,-80
-57.5,-83,-999,-62,-76.5,-60.5,-65,-80,-86
-52,-999,-69.5,-999,-65.5,-52,-57.5,-62.5,-65.5
-42.5,-999,-75.5,-56.5,-999,-56,-49,-64.5,-71.5
-68,-999,-86,-60,-78,-59.5,-75.5,-70.5,-78
-65.5,-999,-83.5,-66,-69.5,-65.5,-999,-79.5,-72
-61,-999,-91.5,-64.5,-76,-64,-70.5,-999,-83
-60,-999,-92.5,-61,-75.5,-62,-59,-77,-999

-999,-79.5,-84,-84,-79.5,-84.5,-84,-84,-78
-56.5,-999,-77.5,-78,-78,-86.5,-87.5,-999,-84.5
-61,-81,-81,-81.5,-81.5,-89.5,-89,-999,-90.5
-46.5,-88.5,-88.5,-90,-90,-73,-73,-72.5,-73
-45,-999,-88,-87.5,-89,-75,-74,-73.5,-73
-64,-999,-89.5,-89,-89.5,-79.5,-79.5,-80,-79.5
-60,-999,-999,-77.5,-72.5,-89,-999,-999,-91.5
-62.5,-999,-999,-75,-78,-74.5,-91,-999,-85.5
-61,-999,-999,-71.5,-80.5,-86,-86,-86.5,-86

-999,-60.5,-61,-63,-61,-63,-61,-60.5,-62.5
-49.5,-999,-91.5,-90,-94,-90.5,-84.5,-999,-92.5
-62,-81.5,-85,-84,-81,-83.5,-999,-999,-81
-46,-90.5,-76,-75.5,-88.5,-76,-77,-77,-88
-41.5,-82.5,-75,-75,-83.5,-75,-75,-75,-85
-66,-999,-81.5,-81.5,-81.5,-81.5,-81.5,-81,-80.5
-62,-999,-87.5,-87.5,-77.5,-87.5,-78,-999,-78
-63,-999,-85,-85,-83.5,-86,-83.5,-999,-83.5
-61,-999,-91.5,-92,-92,-90.5,-89.5,-90,-89

-999,-60.5,-73.5,-65,-64.5,-71,-77,-83.5,-999
-45,-999,-62.5,-72,-66.5,-72.5,-66.5,-66.5,-72.5
-61,-62,-62.5,-66,-77.5,-66.5,-78,-78,-66
-50.5,-69,-69.5,-999,-64.5,-56.5,-64,-64,-68.5
-42,-60.5,-61,-61,-999,-60.5,-64,-66.5,-61.5
-74,-79.5,-79.5,-59.5,-72.5,-60,-73.5,-73.5,-61
-60.5,-82.5,-83,-69,-65,-69,-65,-64.5,-69
-64.5,-78,-77.5,-69.5,-68.5,-69,-68.5,-68.5,-69
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-62.5,-63.5,-999,-63.5,-63.5,-999,-71,-63.5
-43,-999,-66.5,-74,-70.5,-84,-88,-999,-86
-60,-64,-999,-67.5,-82.5,-69.5,-82.5,-999,-92
-999,-999,-999,-999,-999,-999,-999,-999,-999
-41.5,-63,-77,-61,-999,-67,-62.5,-82.5,-70.5
-60,-83,-73.5,-62,-76,-999,-88,-999,-81.5
-999,-999,-999,-999,-999,-999,-999,-999,-999
-57.5,-79.5,-89.5,-75.5,-73,-74,-82.5,-999,-65.5
-63.5,-84,-86,-68.5,-74,-74,-71.5,-78,-999

-999,-76,-76,-76.5,-76,-76,-999,-76.5,-90.5
-44,-999,-70,-999,-70,-70.5,-999,-89,-70
-60,-68,-83.5,-999,-84,-84,-999,-87,-83
