-999,-62,-61,-59,-51,-61.5,-50.5,-65.5,-999
-62.5,-999,-45,-65,-58,-83,-73,-82,-999
-60,-44.5,-999,-62,-58,-75,-72.5,-71,-999
-59.5,-66,-62.5,-999,-54.5,-65,-78,-77.5,-999
-53.5,-57.5,-58.5,-53.5,-999,-74,-64,-75.5,-999
-69.5,-76,-72,-65.5,-80.5,-999,-69.5,-56,-999
-59,-76.5,-70,-70.5,-63.5,-72.5,-999,-58.5,-999
-61.5,-85,-71.5,-72.5,-76.5,-57.5,-58.5,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-72,-73,-73.5,-73.5,-60.5,-60.5,-60.5,-999
-60,-999,-53.5,-61,-50.5,-62,-67,-70,-999
-60.5,-53.5,-999,-61.5,-66,-66,-77,-78,-999
-61,-60.5,-63.5,-999,-50.5,-58.5,-57.5,-67.5,-999
-52.5,-51,-66.5,-49,-999,-64,-65,-66,-999
-50,-62,-68,-58,-64.5,-999,-63,-63,-999
-50.5,-67,-76.5,-58,-66.5,-63,-999,-67.5,-999
-63.5,-69.5,-80,-66.5,-66,-63.5,-67,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-68,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-999
-60.5,-60,-60.5,-60.5,-60,-77,-77.5,-77.5,-999
-63.5,-78.5,-79,-79,-79.5,-86,-86,-85.5,-999
-61,-59,-59.5,-59.5,-59.5,-65,-65,-65,-999
-60.5,-53,-52.5,-56,-999,-76,-76,-75.5,-999
-53.5,-66,-66,-66,-66,-72.5,-72.5,-72.5,-999
-46.5,-75,-75,-75.5,-75.5,-70,-999,-70,-999
-66.5,-77,-77,-77.5,-77.5,-75.5,-76,-76,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-86,-66.5,-85,-84.5,-67,-67,-65,-999
-60,-73.5,-73.5,-73.5,-73.5,-73.5,-73.5,-73.5,-999
-62,-75,-75,-74.5,-74,-74.5,-74,-73.5,-999
-58.5,-66,-66,-65.5,-65.5,-65.5,-65.5,-65.5,-999
-61.5,-68.5,-69,-68.5,-68.5,-68.5,-68,-68,-999
-58,-63,-63,-62.5,-62.5,-999,-62.5,-62.5,-999
-50,-73,-73,-72.5,-72.5,-73,-72.5,-72.5,-999
-69.5,-70,-70,-69.5,-70,-70,-69.5,-69.5,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-70,-87,-70.5,-71,-70.5,-71,-76.5,-999
-60,-999,-80,-76,-999,-79.5,-78.5,-73,-999
-61,-66,-90,-77,-999,-90,-90,-999,-999
-60.5,-79,-71.5,-79,-79.5,-72.5,-72,-71.5,-999
-58.5,-84.5,-79,-65,-999,-80,-80,-70.5,-999
-59.5,-85,-79.5,-84.5,-84.5,-83,-83,-63.5,-999
-52.5,-80.5,-80,-94,-999,-81,-999,-71.5,-999
-64.5,-86.5,-82,-83.5,-999,-83,-82.5,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-71.5,-71.5,-71.5,-71,-71,-71,-70.5,-999
-61.5,-73,-74,-73,-74,-74,-74.5,-86.5,-999
-63,-85,-999,-83.5,-83,-82.5,-82.5,-999,-999
-54,-70,-79,-70,-70.5,-70.5,-71,-85,-999
-58,-83,-999,-66,-84,-85.5,-87.5,-92.5,-999
-53.5,-80,-84,-61,-79,-78,-77.5,-77,-999
-60.5,-65,-999,-65.5,-66,-66,-999,-86,-999
-62,-81.5,-999,-81.5,-81.5,-81.5,-81.5,-999,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-82.5,-64.5,-81,-80,-78.5,-77.5,-71,-999
-67,-74,-74.5,-75,-74.5,-75,-75.5,-76,-999
-70,-84,-83.5,-84,-83.5,-83.5,-83.5,-83.5,-999
-52,-74.5,-72.5,-72.5,-72,-72,-72.5,-72,-999
-59.5,-78.5,-77.5,-76.5,-75.5,-75.5,-75,-74.5,-999
-61.5,-73,-75,-77,-78.5,-79,-79,-79,-999
-63,-73,-72.5,-73.5,-73.5,-74.5,-999,-74.5,-999
-66,-77.5,-77.5,-77.5,-78,-78.5,-78.5,-79,-999
-999,-999,-999,-999,-999,-999,-999,-999,-999

-999,-61.5,-62.5,-60,-65,-61,-67,-72,-999
-62.5,-63.5,-67.5,-63.5,-64.5,-64,-64.5,-71,-999
-63.5,-76,-999,-77.5,-79,-79.5,-80.5,-85.5,-999
-48.5,-68,-63.5,-67.5,-67,-66.5,-66.5,-66.5,-999
-63,-73,-83,-73,-72.5,-999,-72.5,-75.5,-999
