-999,-32,-64.5,-56.5,-52.5,-58,-66,-58,-54.5,1.5,1.5,0,940.5,-26.5,3,-4,-10.5,-0.5,7.5,-2,-5.5,
-32,-999,-53.5,-57,-58.5,-62.5,-74.5,-73,-73.5,1.5,-26.5,9,-26.5,940.5,-5.5,-1.5,-0.5,4,16,13,13.5,
-61.5,-53,-999,-51.5,-60,-67.5,-62.5,-72,-76.5,1.5,-5.5,1,3,-5.5,940.5,-7,1.5,9,4,12,16.5,
-54.5,-57.5,-53,-999,-45.5,-73,-68,-65,-60,1.5,-14.5,4,-4,-1,-5.5,940.5,-14.5,14.5,9.5,5,0,
-48,-58,-60.5,-44,-999,-63,-67.5,-61.5,-60,1.5,-10.5,9,-10.5,-0.5,2,-14.5,940.5,4.5,9,1.5,0,
-58,-64,-67.5,-999,-63.5,-999,-77,-61.5,-63,1.5,-0.5,9,-0.5,5.5,9,940.5,5,940.5,18.5,1.5,3,
-67.5,-75,-64.5,-69.5,-68,-77.5,-999,-67.5,-61.5,1.5,1.5,8,9,16.5,6,11,9.5,19,940.5,7.5,1.5,
-57,-73.5,-72,-64.5,-61.5,-61,-67,-999,-49,1.5,-11,8,-1.5,15,13.5,6,3,2.5,8.5,939,-11,
-53.5,-73.5,-77.5,-60.5,-61,-65,-61,-49,-999,1.5,-5.5,9,-5,15,19,2,2.5,6.5,2.5,-11,939,

-999,-63.5,-63.5,-63,-62.5,-61,-62,-62.5,-62,1.5,1.5,0,940.5,-28,-6.9,-3,-12,-9.9,-3.5,-1.5,-4.5,
-30.5,-999,-58,-55.5,-76,-63.5,-76.5,-69,-72,-26.4,-28,9,-28,924.7,-17.3,-18.3,-5.3,-10.8,2.2,-5.3,-0.3,
-63.5,-57,-999,-53.5,-76,-70.5,-60,-82,-72,-5.5,-17.3,1,5,-17.3,928.6,-15.4,9.1,-0.4,-8.9,5.6,4.1,
-55.5,-56,-55,-999,-46.5,-58,-67,-61.5,-59.5,-14.3,-18.3,1,-3,-18.3,-15.4,938.4,-13.6,-12.9,1.5,2.4,-0.6,
-46.5,-69,-79.5,-47,-999,-66,-67.5,-62.5,-62,-10.4,-13.6,3,-12,-5.3,9.1,-13.6,940.5,-4.9,2,4,3,
-57,-63.5,-70.5,-59,-67,-999,-71,-58.5,-61.5,-0.6,-12.9,3,-1.5,-10.8,0.1,-1.6,8.5,928.1,-0.4,-12.4,-10.4,
-65.5,-76.5,-61.5,-67.5,-70.5,-70.5,-999,-64.5,-60.5,1.5,-8.9,2,7,2.2,-8.9,6.9,12,-0.4,933.5,-1.5,-4.5,
-57,-69,-76,-63,-62.5,-58.5,-64,-999,-48.5,-10.9,-12.4,5,-1.5,-5.3,5.6,2.4,4,-12.4,-1.5,940.5,-10,
-54,-74,-74.5,-60,-61.5,-60.5,-61,-49,-999,-5.5,-10.4,5,-4.5,-0.3,4.1,-0.6,3,-10.4,-4.5,-9.5,940.5,

-999,-64.5,-65,-66,-67,-68,-70.5,-77,-77,1.5,1.5,0,940.5,-27,-8.5,-6.9,-7.5,-4.4,0.1,-9.4,-2.5,
-31.5,-999,-66.5,-79.5,-91.5,-72.5,-79,-79,-78.5,-28.4,-27,9,-27,920.7,-7,6.6,23,0.1,8.6,-7.4,13,
-62,-87.5,-87.5,-80,-79,-71,-74,-73.5,-73.5,-17.3,-8.5,9,3.5,9.2,14,-12,3,-1.4,-5.5,-12.9,3,
-53,-999,-61.5,-60.5,-60.5,-60.5,-66,-66.5,-66.5,-18.3,-19.9,7,-5.5,920.7,-12,-12.4,-9.4,-11.9,-4.4,-19.9,-0.4,
-51,-999,-76.5,-63.5,-999,-66.5,-68,-68.5,-69,-13.5,-17.9,7,-7.5,920.7,3,-9.4,930.5,-5.9,-2.4,-17.9,3.5,
-59,-999,-76,-75.5,-75.5,-999,-66.5,-67,-66,-12.9,-19.4,7,0.5,920.7,2.5,2.6,7,926.6,-3.9,-19.4,-9.9,
-66.5,-999,-68,-74,-74.5,-70.5,-67.5,-68,-67.5,-8.5,-18.4,7,8,920.7,-5.5,1.1,6,-1.9,-2.9,-18.4,-8.4,
-58,-999,-80,-76.5,-76,-60,-58,-58,-58,-12.4,-9.4,9,-0.5,920.7,6.5,3.6,7.5,-12.4,-12.4,-28.4,-24.4,
-56,-999,-76.5,-72.5,-72.5,-62.5,-62,-62,-999,-10.4,-24.4,7,-2.5,920.7,3,-0.4,4,-9.9,-8.4,-24.4,933.5,

-999,-87.5,-79,-69,-68.5,-68.5,-69,-68.5,-68.5,1.5,1.5,0,940.5,-26.5,1.1,-10.7,-9.8,-1.2,-15.8,-19.9,-8.8,
-32,-999,-76.5,-85.5,-87,-88.5,-74.5,-85.5,-85,-26.4,-26.5,9,-26.5,919.3,-1.4,5.8,8.7,18.8,-10.3,-2.9,7.7,
-60.5,-87,-86.5,-86.5,-86.5,-85.5,-85,-73.5,-73.5,-8.5,-14.9,7,2,7.3,8.6,-6.9,8.2,15.8,0.2,-14.9,-3.8,
-52,-999,-71,-999,-64.5,-79.5,-71.5,-78.5,-78.5,-19.7,-13.8,4,-6.5,919.3,-6.9,919.3,-13.8,8.3,-13.3,-9.9,1.2,
-52,-999,-999,-69,-69,-68.5,-74,-68.5,-68.5,-17.9,-19.9,7,-6.5,919.3,921.1,-10.7,-9.3,-1.2,-10.8,-19.9,-8.8,
-58,-999,-999,-88,-86,-86,-90.5,-85.5,-85,-19.7,-2.9,7,-0.5,919.3,921.1,8.3,7.7,16.3,5.7,-2.9,7.7,
-68,-999,-80,-89.5,-89,-88.5,-80,-88.5,-88,-18.3,-15.8,9,9.5,919.3,2.1,9.8,10.7,18.8,-4.8,-4.8,4.7,
-59,-999,-90.5,-90.5,-87.5,-86.5,-80,-84,-83.5,-9.7,-19.9,9,0.5,919.3,12.6,10.8,9.2,16.8,-4.8,-4.4,-5.9,
-56,-999,-88,-81,-81.5,-81.5,-89.5,-82.5,-83,-24.8,-8.8,9,-2.5,919.3,10.1,1.3,3.2,11.8,4.7,-5.9,5.7,

-999,-999,-80,-79.5,-79.5,-79.5,-83.5,-79,-65,1.5,1.5,0,940.5,925.2,0.3,-4,-8.5,-0.2,8.5,-7.4,-3.5,
-999,-999,-999,-999,-999,-999,-999,-999,-999,-26.4,9.2,2,940.5,925.2,9.2,925.2,923.2,919.3,925.2,912.6,925.2,
-67,-83,-999,-74.5,-89,-91,-84,-999,-92,-15,-15.7,3,8.5,9.2,919.3,-15.7,2.3,0.8,-4.2,912.6,23.5,
-54.5,-999,-64,-79.5,-81.5,-82.5,-83,-82.5,-80.5,-13.8,-4,9,-4,925.2,-15.7,16.8,5.7,2.8,13.3,-3.9,-1.7,
-50,-999,-82,-76,-77.5,-78.5,-79.5,-79.5,-79.5,-19.7,-8.5,9,-8.5,925.2,2.3,13.3,1.7,-8.8,0.2,-6.9,-14.8,
-60,-999,-80.5,-67,-67,-67,-67,-67,-67,-2.7,-19.4,7,1.5,925.2,0.8,4.3,-8.8,-12.7,-3.2,-19.4,-18.2,
-67,-999,-75.5,-76,-76,-76.5,-77,-76.5,-77,-15.8,-9.9,7,8.5,925.2,-4.2,13.3,0.2,-3.2,8.5,-9.9,-7,
-59,-999,-999,-90.5,-84.5,-78,-85.5,-999,-77,-19.7,-24.4,8,0.5,925.2,919.3,27.8,8.7,-1.7,17,912.6,-24.4,
-56.5,-999,-999,-61,-61,-61.5,-61.5,-62,-62,-8.5,-14.8,4,-2,925.2,919.3,-1.7,-14.8,-18.2,-7,-24.4,-6.5,

-999,-85,-84,-83.5,-61,-60.5,-999,-62,-62,1.5,1.5,0,940.5,10.5,1.5,-3.85731e-15,-8.8,-24.3,924.2,-24.4,-13,
-69,-999,-67,-84,-83.5,-82,-91.5,-999,-90.5,1.5,-2.8,5,10.5,935.2,-1.5,4.3,13.7,-2.8,16.7,912.6,15.5,
-60,-80,-999,-90,-89.5,-80.5,-80.5,-999,-999,-15.7,-4.3,5,1.5,16.2,930.5,10.3,16.5,-4.3,5.7,28,1.5,
-58.5,-999,-83.5,-84.5,-85,-86.5,-999,-999,-87,-3.8,-9.7,8,-3.85731e-15,935.2,15,4.8,4.8,-0.2,919.3,4.8,-9.7,
