-999,-32,-64.5,-56.5,-52.5,-58,-66,-58,-54.5
-32,-999,-53.5,-57,-58.5,-62.5,-74.5,-73,-73.5
-61.5,-53,-999,-51.5,-60,-67.5,-62.5,-72,-76.5
-54.5,-57.5,-53,-999,-45.5,-73,-68,-65,-60
-48,-58,-60.5,-44,-999,-63,-67.5,-61.5,-60
-58,-64,-67.5,-999,-63.5,-999,-77,-61.5,-63
-67.5,-75,-64.5,-69.5,-68,-77.5,-999,-67.5,-61.5
-57,-73.5,-72,-64.5,-61.5,-61,-67,-999,-49
-53.5,-73.5,-77.5,-60.5,-61,-65,-61,-49,-999

-999,-63.5,-63.5,-63,-62.5,-61,-62,-62.5,-62
-30.5,-999,-58,-55.5,-76,-63.5,-76.5,-69,-72
-63.5,-57,-999,-53.5,-76,-70.5,-60,-82,-72
-55.5,-56,-55,-999,-46.5,-58,-67,-61.5,-59.5
-46.5,-69,-79.5,-47,-999,-66,-67.5,-62.5,-62
-57,-63.5,-70.5,-59,-67,-999,-71,-58.5,-61.5
-65.5,-76.5,-61.5,-67.5,-70.5,-70.5,-999,-64.5,-60.5
-57,-69,-76,-63,-62.5,-58.5,-64,-999,-48.5
-54,-74,-74.5,-60,-61.5,-60.5,-61,-49,-999

-999,-64.5,-65,-66,-67,-68,-70.5,-77,-77
-31.5,-999,-66.5,-79.5,-91.5,-72.5,-79,-79,-78.5
-62,-87.5,-87.5,-80,-79,-71,-74,-73.5,-73.5
-53,-999,-61.5,-60.5,-60.5,-60.5,-66,-66.5,-66.5
-51,-999,-76.5,-63.5,-999,-66.5,-68,-68.5,-69
-59,-999,-76,-75.5,-75.5,-999,-66.5,-67,-66
-66.5,-999,-68,-74,-74.5,-70.5,-67.5,-68,-67.5
-58,-999,-80,-76.5,-76,-60,-58,-58,-58
-56,-999,-76.5,-72.5,-72.5,-62.5,-62,-62,-999

-999,-87.5,-79,-69,-68.5,-68.5,-69,-68.5,-68.5
-32,-999,-76.5,-85.5,-87,-88.5,-74.5,-85.5,-85
-60.5,-87,-86.5,-86.5,-86.5,-85.5,-85,-73.5,-73.5
-52,-999,-71,-999,-64.5,-79.5,-71.5,-78.5,-78.5
-52,-999,-999,-69,-69,-68.5,-74,-68.5,-68.5
-58,-999,-999,-88,-86,-86,-90.5,-85.5,-85
-68,-999,-80,-89.5,-89,-88.5,-80,-88.5,-88
-59,-999,-90.5,-90.5,-87.5,-86.5,-80,-84,-83.5
-56,-999,-88,-81,-81.5,-81.5,-89.5,-82.5,-83

-999,-999,-80,-79.5,-79.5,-79.5,-83.5,-79,-65
-999,-999,-999,-999,-999,-999,-999,-999,-999
-67,-83,-999,-74.5,-89,-91,-84,-999,-92
-54.5,-999,-64,-79.5,-81.5,-82.5,-83,-82.5,-80.5
-50,-999,-82,-76,-77.5,-78.5,-79.5,-79.5,-79.5
-60,-999,-80.5,-67,-67,-67,-67,-67,-67
-67,-999,-75.5,-76,-76,-76.5,-77,-76.5,-77
-59,-999,-999,-90.5,-84.5,-78,-85.5,-999,-77
-56.5,-999,-999,-61,-61,-61.5,-61.5,-62,-62

-999,-85,-84,-83.5,-61,-60.5,-999,-62,-62
-69,-999,-67,-84,-83.5,-82,-91.5,-999,-90.5
-60,-80,-999,-90,-89.5,-80.5,-80.5,-999,-999
-58.5,-999,-83.5,-84.5,-85,-86.5,-999,-999,-87
-51,-999,-85,-84.5,-84.5,-84,-74.5,-84.5,-72.5
-59,-999,-79,-79.5,-79,-79,-999,-79,-70
-999,-999,-999,-999,-999,-999,-999,-999,-999
-59.5,-999,-96.5,-84.5,-85,-62,-81,-999,-60.5
-56,-999,-70,-70,-70,-70,-76,-70,-999

-999,-88.5,-89,-85.5,-61,-90,-61,-85,-84.5
-69.5,-89,-89.5,-91,-66.5,-66,-999,-65.5,-65
-61,-80.5,-80,-79,-71.5,-71,-999,-72,-71.5
-79,-92.5,-90.5,-999,-91,-85.5,-999,-84,-86
-50,-85,-91,-999,-999,-78.5,-999,-78.5,-78.5
-59.5,-84,-85,-86,-77.5,-77.5,-999,-77.5,-77.5
-66.5,-83,-83,-83,-69,-68.5,-999,-68,-67.5
-59,-87.5,-88,-87.5,-72.5,-72.5,-999,-72.5,-72.5
-55.5,-88.5,-90,-90,-72.5,-72.5,-999,-72.5,-72.5

-999,-85.5,-83,-79.5,-61,-89,-82,-90,-88.5
-72.5,-999,-58.5,-86.5,-66.5,-999,-65,-999,-88
-63,-56,-999,-999,-66.5,-999,-66.5,-999,-90
-71,-82.5,-87,-999,-999,-999,-89,-999,-999
-45.5,-61.5,-61,-91,-999,-999,-53,-90,-82.5
-61,-84,-76,-85.5,-80.5,-999,-80,-85,-85.5
-69,-74,-70,-92.5,-62,-999,-61.5,-999,-91.5
-59.5,-84,-84.5,-70.5,-74,-84.5,-74,-999,-70.5
-57,-74.5,-91.5,-79.5,-74.5,-91.5,-75,-79,-79.5

-999,-63.5,-63.5,-63.5,-63.5,-66.5,-64,-64,-62
-65.5,-999,-73.5,-90,-68,-91.5,-999,-89,-82
-66.5,-77.5,-999,-999,-67,-999,-999,-88.5,-88.5
-71,-999,-999,-999,-87.5,-999,-999,-89,-91.5
-45,-75,-71.5,-86,-999,-88.5,-72,-89.5,-89.5
-65,-999,-999,-85.5,-80.5,-999,-999,-74.5,-82.5
-64,-999,-999,-999,-65,-999,-999,-77,-72
-59,-90.5,-89.5,-84,-73,-78.5,-78.5,-78,-78
-58,-86.5,-82.5,-84.5,-76.5,-88,-75,-88,-86.5

-999,-66.5,-75,-61.5,-67,-74,-67.5,-74.5,-70
-66.5,-69.5,-69.5,-69.5,-69.5,-73.5,-69.5,-69.5,-86
-61.5,-78,-79.5,-82,-83,-74,-80.5,-77,-79.5
-69.5,-84,-82.5,-80.5,-79,-66,-77.5,-77.5,-65
-44,-63.5,-73.5,-66,-999,-65.5,-81,-68.5,-65
-65,-90.5,-87.5,-86.5,-84,-999,-81.5,-81,-72
-64,-89.5,-90.5,-86.5,-82.5,-74,-77,-74.5,-62.5
-58.5,-77,-78,-80,-81.5,-60,-83,-81.5,-57
-57.5,-76,-75.5,-75,-75,-65.5,-76.5,-77.5,-999

-999,-68,-68.5,-69,-69.5,-69.5,-73,-68.5,-68
-70,-75.5,-64,-68.5,-75.5,-72.5,-77,-999,-999
