-72,-72,-72,-72,-72,-72,-72,-72,-72,1.5,1.5,0,13.5,13.5,13.5,13.5,13.5,13.5,13.5,12,12,
-72,-72,-72,-72,-72,-72,-72,-72,-72,1.5,13.5,9,13.5,13.5,13.5,13.5,13.5,13.5,13.5,12,12,
-72,-72,-72,-72,-72,-72,-72,-72,-72,1.5,13.5,9,13.5,13.5,13.5,13.5,13.5,13.5,13.5,12,12,
-72,-72,-72,-72,-72,-72,-72,-72,-72,1.5,13.5,9,13.5,13.5,13.5,13.5,13.5,13.5,13.5,12,12,
-72,-72,-72,-72,-72,-72,-72,-72,-72,1.5,13.5,9,13.5,13.5,13.5,13.5,13.5,13.5,13.5,12,12,
-72,-72,-72,-72,-72,-72,-72,-72,-72,1.5,13.5,9,13.5,13.5,13.5,13.5,13.5,13.5,13.5,12,12,
-72,-72,-72,-72,-72,-72,-72,-72,-72,1.5,13.5,9,13.5,13.5,13.5,13.5,13.5,13.5,13.5,12,12,
-72,-72,-72,-72,-72,-72,-72,-72,-72,1.5,12,9,13.5,13.5,13.5,13.5,13.5,13.5,13.5,12,12,
-72,-72,-72,-72,-72,-72,-72,-72,-72,1.5,12,9,13.5,13.5,13.5,13.5,13.5,13.5,13.5,12,12,

-999,-54.5,-57,-56.5,-59,-64.5,-64,-71.5,-62.5,1.5,1.5,0,940.5,-6.5,-2,-2,-0.5,6,3,6.5,2,
-52,-999,-58.5,-61.5,-68,-68,-65,-75,-68.5,1.5,-6.5,9,-6.5,940.5,-3.85731e-15,2,9.5,9.5,6.5,15.5,10,
-56.5,-58.5,-999,-72,-72.5,-69.5,-63,-87,-78.5,1.5,-3.85731e-15,1,-2,-3.85731e-15,940.5,13.5,13.5,11,4.5,27.5,20,
-56.5,-60.5,-72.5,-999,-69.5,-55,-71,-73.5,-67,1.5,-2,9,-2,2,14,940.5,10,-4.5,12.5,15,8.5,
-58,-68,-72,-68.5,-999,-68.5,-62,-75,-75.5,1.5,-0.5,9,-0.5,9.5,13.5,10,940.5,10,3,16.5,17,
-65,-68.5,-69.5,-54,-68.5,-999,-73.5,-65,-68,1.5,-4.5,3,6.5,10,11,-4.5,10,940.5,15,6.5,9.5,
-61.5,-66,-64,-71.5,-61.5,-74,-999,-66.5,-70,1.5,3,9,3,7.5,5.5,13,3,15.5,940.5,7.5,11,
-65,-74,-86,-73.5,-75,-65,-66,-999,-44,1.5,-14.5,8,6.5,15.5,27.5,15,16.5,6.5,7.5,940.5,-14.5,
-60.5,-69,-80,-67.5,-75.5,-69.5,-69.5,-46.5,-999,1.5,2,9,2,10.5,21.5,9,17,11,11,-12,940.5,

-999,-60.5,-61,-60.5,-61,-61,-64.5,-64,-64,1.5,1.5,0,940.5,-5.5,-3,-3.9,-1,-13.3,3.5,5.5,4.5,
-53,-999,-60.5,-60.5,-69,-66,-64.5,-83.5,-66,-6.5,-3.9,3,-5.5,937.1,-1.9,-3.9,7.1,-8.3,2.6,19.1,6.1,
-55.5,-60,-999,-73.5,-75.5,-68,-65.5,-77.5,-76,0,-1.9,1,-3,-1.9,938.4,9.1,14.9,-6.3,4.4,17.9,16.9,
-55.5,-60.5,-74,-999,-68.5,-54,-68.5,-71,-65.5,-1.9,-20.3,5,-3,-1.4,13.4,934.6,4.1,-20.3,4.6,7.1,1.6,
-57.5,-69,-75.5,-68.5,-999,-71.5,-61,-78,-77.5,-0.6,-2.8,5,-1,7.1,14.9,4.1,940.5,-2.8,2.5,19,19,
-64.5,-66,-68.5,-53.5,-71.5,-999,-74.5,-64,-65,-4.4,-13.3,9,6,4.1,7.9,-10.9,13,924.7,0.2,-10.8,-8.3,
-62,-64.5,-65,-69,-61.5,-74.5,-999,-69,-999,1.5,2.6,1,3.5,2.6,4.4,4.6,3,0.2,940.5,10,26,
-69.5,-81,-78.5,-71.5,-77.5,-63.5,-68.5,-999,-43.5,-14.3,-10.8,5,11,19.1,17.9,7.1,19,-10.8,10,940.5,-15,
